float_id,date,latitude,longitude,depth,temperature,salinity,pressure,oxygen,pH,conductivity,region
1,2023-01-01,-15.055,71.338,200,29.88,37.48,3746.4,3.73,7.69,4.15,Pacific Ocean
2,2023-01-02,54.086,12.995,1000,29.19,38.12,1458.0,4.39,8.39,4.38,Indian Ocean
3,2023-01-03,27.839,-68.57,100,18.81,36.56,2535.4,7.52,8.25,3.91,Arabian Sea
4,2023-01-04,11.839,112.966,500,4.39,31.28,2824.9,7.96,8.41,5.8,Pacific Ocean
5,2023-01-05,-41.278,66.503,10,19.77,33.38,2476.2,2.27,8.26,3.36,Bay of Bengal
6,2023-01-06,-41.281,-121.458,500,0.31,39.28,1484.1,6.57,8.1,5.8,Bay of Bengal
7,2023-01-07,-53.03,147.934,1000,-1.02,32.25,2675.8,4.23,8.15,5.05,Indian Ocean
8,2023-01-08,43.941,116.113,1000,6.25,33.72,4004.7,4.35,8.39,4.59,Indian Ocean
9,2023-01-09,12.134,161.928,10,12.8,34.32,1284.0,6.53,8.08,3.1,Indian Ocean
10,2023-01-10,24.969,81.259,50,25.78,34.39,1320.7,7.51,8.13,4.43,Bay of Bengal
11,2023-01-11,-57.53,40.829,10,21.27,36.13,2419.1,7.71,7.66,4.22,Pacific Ocean
12,2023-01-12,56.389,-29.433,200,21.77,39.43,4766.9,5.46,7.97,3.48,Bay of Bengal
13,2023-01-13,39.893,155.782,100,11.62,32.41,3674.3,4.14,8.22,4.97,Arabian Sea
14,2023-01-14,-34.519,131.783,50,9.07,31.22,3714.7,6.73,7.77,5.91,Bay of Bengal
15,2023-01-15,-38.181,-163.721,10,9.87,31.97,2447.7,3.51,7.7,4.69,Arabian Sea
16,2023-01-16,-37.991,-170.508,500,29.6,38.87,3374.6,5.38,7.81,5.14,Pacific Ocean
17,2023-01-17,-23.491,-44.473,50,-0.72,36.46,1040.5,4.15,7.74,3.21,Indian Ocean
18,2023-01-18,2.971,111.799,50,25.75,32.86,3544.4,5.94,7.71,4.25,Indian Ocean
19,2023-01-19,-8.167,175.419,10,16.52,38.16,4653.1,3.44,7.92,3.35,Bay of Bengal
20,2023-01-20,-25.053,-125.85,50,12.04,38.61,3450.3,3.15,8.41,4.84,Indian Ocean
21,2023-01-21,13.422,33.887,500,21.21,38.47,4494.8,7.51,8.01,5.82,Pacific Ocean
22,2023-01-22,-43.261,-42.879,1000,13.57,39.19,3895.9,2.61,7.69,4.99,Indian Ocean
23,2023-01-23,-24.943,169.169,50,25.95,32.52,1482.2,5.04,7.58,3.23,Bay of Bengal
24,2023-01-24,-16.037,123.163,1000,26.82,37.55,4609.8,3.33,8.2,4.06,Pacific Ocean
25,2023-01-25,-5.272,121.798,500,11.5,34.61,1265.8,2.23,7.88,4.65,Arabian Sea
26,2023-01-26,34.221,-11.27,10,6.86,38.42,3135.9,2.22,8.32,4.21,Bay of Bengal
27,2023-01-27,-36.039,-30.665,100,16.96,37.28,1568.5,3.05,8.16,5.5,Arabian Sea
28,2023-01-28,1.708,-81.573,50,27.2,37.76,1046.8,7.2,8.3,5.44,Pacific Ocean
29,2023-01-29,11.09,-159.705,100,4.74,36.56,2688.1,3.69,7.77,4.84,Bay of Bengal
30,2023-01-30,-54.426,131.3,500,17.93,31.77,2180.2,7.7,8.19,4.12,Bay of Bengal
31,2023-01-31,12.905,112.644,50,18.21,35.45,2944.0,5.49,7.76,3.77,Pacific Ocean
32,2023-02-01,-39.537,179.898,1000,21.46,39.85,3308.8,4.62,8.44,3.32,Indian Ocean
33,2023-02-02,-52.194,178.789,200,2.21,39.37,1175.0,5.48,8.14,4.06,Bay of Bengal
34,2023-02-03,53.866,19.955,100,20.91,30.43,1492.0,5.1,7.82,4.24,Bay of Bengal
35,2023-02-04,55.876,96.835,50,27.09,31.65,3234.6,6.55,7.77,5.03,Arabian Sea
36,2023-02-05,37.008,160.116,100,3.75,31.32,2372.7,3.69,7.69,4.97,Indian Ocean
37,2023-02-06,-23.446,125.873,50,5.6,37.26,3916.7,4.12,8.19,3.21,Arabian Sea
38,2023-02-07,-48.279,-90.955,10,29.08,38.18,3609.2,7.36,7.72,4.19,Arabian Sea
39,2023-02-08,22.108,-17.804,1000,3.79,32.14,4382.4,7.68,8.1,3.55,Indian Ocean
40,2023-02-09,-7.182,-133.503,100,25.34,35.06,3770.0,7.36,7.76,3.47,Indian Ocean
41,2023-02-10,-45.355,163.458,200,13.75,38.41,2719.7,4.52,8.16,5.48,Pacific Ocean
42,2023-02-11,-0.579,38.223,200,5.91,37.33,3691.9,6.68,8.31,3.13,Indian Ocean
43,2023-02-12,-55.873,-97.689,500,25.86,35.42,2101.5,4.86,8.28,4.26,Bay of Bengal
44,2023-02-13,49.118,61.812,50,12.25,35.9,2225.3,4.99,8.26,3.5,Indian Ocean
45,2023-02-14,-28.946,42.526,100,14.47,35.08,4155.9,3.23,7.69,5.64,Pacific Ocean
46,2023-02-15,19.503,-51.061,500,9.5,32.98,2785.7,5.55,7.59,4.67,Pacific Ocean
47,2023-02-16,-22.595,-139.119,100,16.97,35.65,4193.5,3.12,8.2,3.69,Pacific Ocean
48,2023-02-17,2.408,61.766,50,3.23,36.89,4289.7,3.99,7.87,4.51,Indian Ocean
49,2023-02-18,5.605,7.311,200,10.51,38.73,4430.2,7.13,7.93,5.19,Indian Ocean
50,2023-02-19,-37.817,98.035,10,29.02,36.36,4666.5,3.24,7.53,5.87,Arabian Sea
51,2023-02-20,56.35,7.259,200,6.26,37.61,2723.9,2.43,7.76,3.66,Arabian Sea
52,2023-02-21,33.016,126.785,500,19.02,31.6,2275.5,2.41,7.53,5.66,Bay of Bengal
53,2023-02-22,52.74,18.686,1000,8.41,34.62,3328.8,7.64,8.38,5.8,Arabian Sea
54,2023-02-23,47.379,21.938,10,22.75,30.09,2484.7,5.04,7.74,5.75,Bay of Bengal
55,2023-02-24,11.748,135.595,500,2.19,32.47,3404.3,4.46,8.06,4.91,Pacific Ocean
56,2023-02-25,50.625,-34.746,50,29.03,37.26,3822.3,6.87,7.54,4.89,Arabian Sea
57,2023-02-26,-49.381,-131.755,10,12.52,39.92,3753.6,7.01,8.17,4.21,Indian Ocean
58,2023-02-27,-36.482,-169.638,500,5.55,30.99,2498.2,3.99,7.82,5.26,Arabian Sea
59,2023-02-28,-54.573,91.849,50,0.35,34.01,1667.4,6.16,8.4,4.59,Bay of Bengal
60,2023-03-01,-20.96,43.311,200,3.43,38.0,2722.1,6.63,8.39,5.03,Arabian Sea
61,2023-03-02,-13.359,73.469,1000,14.63,32.04,1570.4,5.93,7.83,4.29,Pacific Ocean
62,2023-03-03,-27.438,-103.333,50,8.78,35.55,4560.4,2.91,8.4,5.19,Indian Ocean
63,2023-03-04,39.449,-130.906,100,24.52,37.33,2383.5,7.26,8.5,5.47,Bay of Bengal
64,2023-03-05,-17.19,-174.764,50,11.79,36.16,1617.8,5.23,8.33,3.44,Indian Ocean
65,2023-03-06,-26.288,-53.788,50,5.96,31.88,1101.8,3.69,8.34,5.5,Indian Ocean
66,2023-03-07,5.124,32.37,1000,17.75,33.55,3583.3,4.55,7.75,4.62,Bay of Bengal
67,2023-03-08,-43.089,-38.792,100,20.62,37.84,3547.6,2.23,8.08,5.53,Indian Ocean
68,2023-03-09,36.264,-22.509,500,3.35,35.54,2362.4,2.77,7.57,4.29,Indian Ocean
69,2023-03-10,-51.054,145.497,500,3.36,30.05,1286.8,6.59,7.59,4.14,Arabian Sea
70,2023-03-11,58.426,-54.628,50,-0.83,37.61,2638.5,2.0,8.5,5.75,Indian Ocean
71,2023-03-12,32.669,5.036,100,21.56,30.35,2244.9,4.5,7.83,3.75,Indian Ocean
72,2023-03-13,-36.154,102.115,100,19.24,37.46,3708.5,5.14,8.25,5.53,Indian Ocean
73,2023-03-14,-59.337,-37.245,1000,13.19,32.02,3423.1,2.33,8.31,4.45,Indian Ocean
74,2023-03-15,37.855,43.951,200,25.01,39.58,2458.4,7.84,8.36,4.54,Bay of Bengal
75,2023-03-16,24.823,130.451,500,23.78,33.68,1871.6,3.36,8.5,3.93,Pacific Ocean
76,2023-03-17,27.481,161.827,1000,16.73,33.27,4952.1,3.83,7.74,4.72,Arabian Sea
77,2023-03-18,32.552,-127.054,10,25.78,31.49,2816.0,3.82,7.54,3.98,Indian Ocean
78,2023-03-19,-51.115,153.572,500,4.59,33.06,3753.1,3.38,7.91,3.12,Indian Ocean
79,2023-03-20,-16.984,-2.838,1000,1.58,38.77,1562.2,2.01,7.63,3.82,Bay of Bengal
80,2023-03-21,-46.096,-87.032,500,6.63,39.96,2942.4,6.38,7.52,3.02,Pacific Ocean
81,2023-03-22,43.572,-14.711,200,-0.17,33.68,1110.1,7.8,7.86,5.94,Indian Ocean
82,2023-03-23,14.796,172.812,10,15.0,34.49,3021.8,3.35,8.28,5.9,Bay of Bengal
83,2023-03-24,-20.292,-2.657,200,27.97,37.22,4856.1,5.98,8.07,4.19,Arabian Sea
84,2023-03-25,-52.373,-61.649,10,-0.74,38.86,2536.8,6.45,7.81,5.19,Arabian Sea
85,2023-03-26,-22.682,48.024,50,1.91,35.93,1156.0,7.09,8.15,4.04,Indian Ocean
86,2023-03-27,-20.978,-93.548,1000,12.47,33.92,1123.8,4.54,7.73,5.01,Indian Ocean
87,2023-03-28,27.553,-152.689,10,27.88,34.13,2551.9,3.82,7.51,5.42,Pacific Ocean
88,2023-03-29,16.507,-133.603,200,8.12,36.96,1640.1,3.95,8.26,5.84,Pacific Ocean
89,2023-03-30,46.466,-133.903,500,14.23,30.03,1093.4,6.28,8.12,4.2,Indian Ocean
90,2023-03-31,-3.334,-125.315,10,-0.67,36.2,4024.9,6.9,8.26,5.35,Bay of Bengal
91,2023-04-01,-45.649,-130.022,1000,2.75,33.55,2834.1,3.09,7.54,3.8,Pacific Ocean
92,2023-04-02,25.589,50.715,10,29.57,37.94,2157.0,4.23,8.34,5.97,Indian Ocean
93,2023-04-03,31.294,-114.523,100,28.88,30.93,4600.3,7.41,8.12,3.08,Pacific Ocean
94,2023-04-04,7.353,-55.56,500,-1.84,35.88,1464.6,6.84,8.06,4.81,Indian Ocean
95,2023-04-05,32.516,142.844,1000,28.46,34.81,4823.7,7.91,8.12,4.98,Arabian Sea
96,2023-04-06,-0.745,-9.374,1000,18.45,36.42,2255.9,6.53,8.36,5.06,Indian Ocean
97,2023-04-07,2.728,60.321,50,25.77,30.65,4553.6,4.36,8.09,3.36,Arabian Sea
98,2023-04-08,-8.695,-117.965,200,12.55,35.8,3411.8,5.54,8.08,5.82,Pacific Ocean
99,2023-04-09,-56.95,-110.776,50,14.5,35.61,4306.8,5.97,8.49,3.54,Indian Ocean
100,2023-04-10,-47.053,-165.287,1000,13.64,35.61,4936.1,2.47,8.26,4.87,Pacific Ocean
101,2023-04-11,-56.228,-119.183,500,19.34,36.03,2153.6,5.27,7.94,3.67,Arabian Sea
102,2023-04-12,16.369,-79.707,10,2.47,36.76,4844.5,6.26,8.21,3.92,Indian Ocean
103,2023-04-13,-22.277,-116.276,10,-1.04,38.05,2557.9,3.0,7.89,4.64,Pacific Ocean
104,2023-04-14,1.028,-148.067,500,7.85,32.7,2542.0,6.68,7.73,4.25,Arabian Sea
105,2023-04-15,48.908,-136.571,1000,20.55,38.25,2361.5,5.5,8.1,3.48,Pacific Ocean
106,2023-04-16,-30.085,-14.12,10,4.46,34.98,3165.6,7.71,8.43,3.51,Bay of Bengal
107,2023-04-17,-10.754,-105.72,10,19.55,30.77,1616.6,2.25,8.43,4.25,Arabian Sea
108,2023-04-18,30.666,-48.863,10,29.04,30.59,3214.8,3.59,7.84,5.27,Arabian Sea
109,2023-04-19,-32.544,1.23,200,1.0,33.34,3166.8,5.61,8.03,5.69,Arabian Sea
110,2023-04-20,-50.762,68.542,200,19.52,37.85,4047.6,3.78,7.71,3.25,Indian Ocean
111,2023-04-21,-25.23,-165.848,100,12.2,37.08,4334.6,6.29,8.5,4.18,Indian Ocean
112,2023-04-22,-40.653,107.788,50,25.78,37.89,2761.8,6.55,8.48,3.3,Indian Ocean
113,2023-04-23,51.564,46.044,500,3.67,35.17,2209.3,2.62,8.15,3.05,Bay of Bengal
114,2023-04-24,36.974,-150.567,500,20.16,34.4,2037.3,5.08,8.3,4.99,Bay of Bengal
115,2023-04-25,16.008,134.488,500,24.82,31.47,1778.5,5.05,8.22,4.81,Arabian Sea
116,2023-04-26,44.575,151.514,100,28.23,33.28,1230.6,4.22,8.09,3.49,Bay of Bengal
117,2023-04-27,36.441,-158.012,200,19.86,34.34,2369.8,7.6,7.55,3.7,Pacific Ocean
118,2023-04-28,-37.612,-80.324,1000,13.91,30.89,2081.0,6.97,7.95,3.07,Arabian Sea
119,2023-04-29,47.107,110.232,1000,17.77,32.21,4865.7,6.18,8.17,5.5,Arabian Sea
120,2023-04-30,4.721,89.373,100,25.8,35.98,3230.8,6.29,8.18,5.92,Pacific Ocean
121,2023-05-01,36.893,-113.572,1000,16.26,37.36,2389.1,4.77,7.87,3.41,Arabian Sea
122,2023-05-02,47.531,-104.634,500,-1.03,39.98,3321.9,7.53,8.44,3.69,Bay of Bengal
123,2023-05-03,-21.84,-46.63,50,27.79,39.33,1556.8,6.17,7.67,5.61,Indian Ocean
124,2023-05-04,-46.794,-5.572,10,20.06,36.43,2776.2,6.37,8.0,5.78,Pacific Ocean
125,2023-05-05,-32.648,42.572,200,19.65,34.21,3504.9,7.17,8.19,4.26,Bay of Bengal
126,2023-05-06,-8.747,-47.191,200,4.9,36.36,2955.6,3.64,8.2,3.15,Pacific Ocean
127,2023-05-07,38.162,-13.488,100,19.08,37.86,2607.1,6.84,8.15,3.12,Pacific Ocean
128,2023-05-08,43.288,89.09,200,10.6,31.18,4975.4,3.17,7.78,4.72,Arabian Sea
129,2023-05-09,-59.166,-166.794,500,18.84,34.1,4521.3,4.07,7.66,4.18,Arabian Sea
130,2023-05-10,1.29,-89.123,1000,1.41,38.4,3493.6,4.01,8.14,3.09,Bay of Bengal
131,2023-05-11,-9.911,76.806,500,19.05,33.84,3277.5,7.87,8.1,4.75,Pacific Ocean
132,2023-05-12,-33.347,142.274,100,29.98,35.72,3482.6,7.14,7.68,3.03,Arabian Sea
133,2023-05-13,-45.616,4.204,500,-0.46,35.88,1805.2,6.21,8.21,5.36,Arabian Sea
134,2023-05-14,-19.486,11.561,1000,29.27,31.84,2580.6,6.36,7.96,3.92,Pacific Ocean
135,2023-05-15,53.149,-141.418,50,11.02,33.62,1157.8,5.37,8.17,3.12,Bay of Bengal
136,2023-05-16,-21.216,-18.932,100,25.86,33.35,2902.2,7.68,8.34,4.77,Bay of Bengal
137,2023-05-17,2.255,11.742,50,23.04,30.26,3172.1,4.98,7.67,4.19,Pacific Ocean
138,2023-05-18,24.362,-92.711,10,16.14,30.24,1911.0,4.28,7.52,5.92,Bay of Bengal
139,2023-05-19,-16.364,-83.072,50,21.63,38.32,4856.1,2.98,8.28,4.63,Arabian Sea
140,2023-05-20,56.614,-44.178,10,26.11,32.73,4637.8,6.72,8.11,3.83,Pacific Ocean
141,2023-05-21,55.494,-172.774,10,10.93,35.18,3888.6,6.41,8.2,5.13,Arabian Sea
142,2023-05-22,-29.786,-64.052,50,8.47,32.99,3133.5,4.31,8.34,3.81,Indian Ocean
143,2023-05-23,-0.33,-103.879,100,19.36,39.41,4479.9,2.15,8.3,5.71,Indian Ocean
144,2023-05-24,-23.895,-62.101,1000,23.85,32.59,1522.6,7.03,8.46,4.12,Bay of Bengal
145,2023-05-25,-25.819,-136.886,500,22.39,34.3,4162.0,2.07,8.04,4.65,Indian Ocean
146,2023-05-26,-55.574,140.59,500,23.53,38.73,1499.3,6.22,7.99,3.15,Arabian Sea
147,2023-05-27,13.148,33.693,1000,11.94,38.42,4176.8,7.82,7.9,4.28,Indian Ocean
148,2023-05-28,0.321,64.477,10,24.17,31.86,2103.1,4.63,7.65,5.5,Arabian Sea
149,2023-05-29,-53.823,104.102,10,1.85,38.03,4508.4,3.41,8.07,5.42,Bay of Bengal
150,2023-05-30,-26.562,-0.561,100,15.42,34.58,4776.2,6.23,7.78,3.67,Bay of Bengal
151,2023-05-31,48.992,-148.709,200,-1.82,34.83,1595.2,6.9,8.42,3.68,Arabian Sea
152,2023-06-01,-31.253,13.358,50,8.39,31.33,2850.7,5.28,8.08,5.45,Indian Ocean
153,2023-06-02,-42.613,31.263,10,9.73,30.81,4923.9,7.8,8.09,5.79,Bay of Bengal
154,2023-06-03,-1.266,88.358,500,10.68,37.28,2933.6,2.31,7.85,3.29,Pacific Ocean
155,2023-06-04,58.278,-24.603,100,20.25,34.96,4454.2,5.03,7.55,4.35,Bay of Bengal
156,2023-06-05,-30.953,-134.071,50,10.43,34.37,3354.9,6.31,7.53,4.01,Indian Ocean
157,2023-06-06,20.656,-77.841,100,12.36,37.3,2501.3,7.18,7.92,5.61,Pacific Ocean
158,2023-06-07,31.394,-49.29,50,5.6,37.66,2143.1,3.08,7.58,3.25,Indian Ocean
159,2023-06-08,-31.483,52.53,50,9.94,31.59,1812.9,6.8,8.11,3.63,Arabian Sea
160,2023-06-09,27.386,25.48,1000,5.27,36.1,4047.2,5.32,8.38,5.26,Pacific Ocean
161,2023-06-10,-15.866,-51.805,10,0.34,31.35,2546.2,4.38,8.38,3.15,Indian Ocean
162,2023-06-11,15.877,175.145,100,17.31,37.51,3045.1,2.79,8.16,4.48,Pacific Ocean
163,2023-06-12,16.024,38.079,100,19.38,36.57,2969.3,7.19,7.71,4.33,Indian Ocean
164,2023-06-13,4.293,-94.598,1000,17.82,39.57,3309.1,2.94,8.36,4.0,Pacific Ocean
165,2023-06-14,-49.165,-143.358,500,12.83,30.69,4462.3,3.86,8.39,4.18,Indian Ocean
166,2023-06-15,40.236,-124.971,500,10.15,30.57,4923.0,3.74,7.7,4.59,Arabian Sea
